Diagnostic Name,PMA/ 510(k)/ HDE,Diagnostic Manufacturer,Indication(s) Trade Name (Generic) - NDA/BLA,Device Indication for a Specific Group of Oncology Therapeutic Products and Trade Name (Generic) – NDA/BLA
BRACAnalysis CDx,"P140020/S016
P140020/S019
P140020/S020","Myriad Genetic Laboratories, Inc.","Breast Cancer

Lynparza (olaparib) - NDA 208558
Talzenna (talazoparib) - NDA 211651 
Ovarian Cancer

Lynparza (olaparib) - NDA 208558
Rubraca (rucaparib) - NDA 209115
Pancreatic Cancer

Lynparza (olaparib) - NDA 208558
Metastatic castrate resistant prostate cancer (mCRPC)

Lynparza (olaparib) - NDA 208558",
therascreen EGFR RGQ PCR Kit,P120022/S018,"Qiagen Manchester, Ltd.","Non-small cell lung cancer

Iressa (gefitinib) - NDA 206995
Gilotrif (afatinib)- NDA 201292
Vizimpro (dacomitinib)- NDA 211288",
cobas EGFR Mutation Test v2,"P120019
P120019/S007
P120019/S016
P120019/S018
P120019/S019  P120019/S031","Roche Molecular Systems, Inc.","Non-small cell lung cancer

EGFR exon 19 deletions
EGFR exon 21(L858R)
Tissue and Plasma

See next Column","Non-small cell lung cancer (tissue)

""identifying patients with NSCLC whose tumors have EGFR exon 19 deletions or exon 21 (L858R) substitution mutations and are suitable for treatment with a tyrosine kinase inhibitor approved by FDA for that indication""

List of tyrosine kinase inhibitors approved by FDA for this indication:

Tarceva (erlotinib) - NDA 021743
Tagrisso (osimertinib) - NDA 208065
Iressa (gefitinib) - NDA 206995
Gilotrif (afatinib)- NDA 201292
Vizimpro (dacomitinib)- NDA 211288
Non-small cell lung cancer (plasma)

""identifying patients with NSCLC whose tumors have EGFR exon 19 deletions or exon 21 (L858R) substitution mutations and are suitable for treatment with a tyrosine kinase inhibitor approved by FDA for that indication""

List of tyrosine kinase inhibitors approved by FDA for this indication:

Tarceva (erlotinib) - NDA 021743
Tagrisso (osimertinib) - NDA 208065
Iressa (gefitinib) - NDA 206995"
,,,"EGFR T790M
(Tissue and Plasma)

Tagrisso (osimertinib) - NDA 208065",
PD-L1 IHC 22C3 pharmDx,"P150013
P150013/S006
P150013/S009
P150013/S011
P150013/S014
P150013/S016
P150013/S020
P150013/S021","Dako North America, Inc.","Non-small cell lung cancer (NSCLC), gastric or gastroesophageal junction adenocarcinoma, cervical cancer, urothelial carcinoma, head and neck squamous cell carcinoma (HNSCC), and esophageal squamous cell carcinoma (ESCC) and triple-negative breast cancer (TNBC)

KEYTRUDA (pembrolizumab) – BLA 125514
Libtayo (cemiplimab-rwlc) – BLA 761097",
Abbott RealTime IDH1,P170041,"Abbott Molecular, Inc.","Acute myeloid leukemia

Tibsovo (ivosidenib) - NDA 211192",
MRDx BCR-ABL Test,K173492,MolecularMD Corporation,"Chronic myeloid leukemia

Tasigna (nilotinib) - NDA 022068/S026",
FoundationOne CDx,"P170019
P170019/S004
P170019/S006
P170019/S008
P170019/S011
P170019/S013
P170019/S015
P170019/S016
P170019/S017
P170019/S021","Foundation Medicine, Inc.","Non-small cell lung cancer

Gilotrif (afatinib) - NDA 201292
Iressa (gefitinib) - NDA 206995
Tarceva (erlotinib) - NDA 021743
Tagrisso (osimertinib) NDA 208065
Alecensa (alectinib) - NDA 208434
Xalkori (crizotinib) - NDA 202570
Zykadia (ceritinib) - NDA 205755
Tafinlar (dabrafenib) - NDA 202806 in combination with Mekinist (trametinib) - NDA 204114
Tabrecta (capmatinib) - NDA 213591
Melanoma

Tafinlar (dabrafenib) - NDA 202806
Zelboraf (vemurafenib) - NDA 202429
Mekinist (trametinib) - NDA 204114 or Cotellic (cobimetinib) - NDA 206192 in combination with Zelboraf (vemurafenib) - NDA 202429
Breast cancer

Herceptin (trastuzumab) - BLA 103792
Perjeta (pertuzumab) - BLA 125409
Kadcyla (ado-trastuzumab emtansine) - BLA 125427
Piqray (alpelisib) - NDA 212526
Colorectal cancer

Erbitux (cetuximab) - BLA 125084
Vectibix (panitumumab) - BLA 125147
Ovarian cancer

Rubraca (rucaparib) - NDA 209115
Lynparza (olaparib) - NDA 208558
Cholangiocarcinoma

Pemazyre (pemigatinib) - NDA 213736
Truseltiq (infigratinib) – NDA 214622
Metastatic castrate resistant prostate cancer (mCRPC)

Lynparza (olaparib) - NDA 208558
Solid tumors (TMB ≥ 10 mutations per megabase)

Keytruda (pembrolizumab) - BLA 125514
Solid tumors (NTRK1/2/3 fusions)

Vitrakvi (larotrectinib) - NDA 210861, 211710",
VENTANA ALK (D5F3) CDx Assay,"P140025/S006
P140025/S014","Ventana Medical Systems, Inc.","Non-small cell lung cancer

Zykadia (ceritinib) - NDA 205755
Xalkori (crizotinib) - NDA 202570
Alecensa (alectinib) - NDA 208434
Lorbrena (lorlatinib) - NDA 210868",
Abbott RealTime IDH2,P170005,"Abbott Molecular, Inc.	","Acute myeloid leukemia

Idhifa (enasidenib) - NDA 209606",
Praxis Extended RAS Panel,P160038,"Illumina, Inc.","Colorectal cancer

Vectibix (panitumumab) - NDA 125147",
Oncomine Dx Target Test,"P160045
P160045/S019
P160045/S028
P160045/S029",Life Technologies Corporation,"Non-small cell lung cancer

Tafinlar (dabrafenib) in combination with Mekinist (trametinib) - NDA 202806 and NDA 204114
Xalkori (crizotinib) - NDA 202570
Iressa (gefitinib) - NDA 206995
Gavreto (pralsetinib) - NDA 213721
Exkivity (mobocertinib) - NDA 206995
Cholangiocarcinoma
TIBSOVO (ivosidenib) - NDA 211192",
LeukoStrat CDx FLT3 Mutation Assay,P160040,"Invivoscribe Technologies, Inc.","Acute myelogenous leukemia

Rydapt (midostaurin) - NDA 207997
Xospata (gilterinib) - NDA 211349",
FoundationFocus CDxBRCA Assay,P160018,"Foundation Medicine, Inc.","Ovarian cancer

Rubraca (rucaparib) - NDA 209115",
Vysis CLL FISH Probe Kit,P150041,"Abbott Molecular, Inc.","B-cell chronic lymphocytic leukemia

Venclexta (venetoclax) - NDA 208573",
KIT D816V Mutation Detection by PCR for Gleevec Eligibility in Aggressive Systemic Mastocytosis (ASM),H140006,"H140006	ARUP Laboratories, Inc.","Aggressive systemic mastocytosis

Gleevec (imatinib mesylate) - NDA 021335",
PDGFRB FISH for Gleevec Eligibility in Myelodysplastic Syndrome / Myeloproliferative Disease (MDS/MPD),H140005,"ARUP Laboratories, Inc.","Myelodysplastic syndrome/myeloproliferative disease

Gleevec (imatinib mesylate) - NDA 021335",
cobas KRAS Mutation Test,P140023,"Roche Molecular Systems, Inc.","Colorectal cancer

Erbitux (cetuximab) - BLA 125084
Vectibix (panitumumab) - BLA 125147",
therascreen KRAS RGQ PCR Kit,"P110030
P110027
P110027/S012","Qiagen Manchester, Ltd.","Colorectal cancer

Erbitux (cetuximab) - BLA 125084
Vectibix (panitumumab) - BLA 125147
Non-Small Cell Lung Cancer (NSCLC)

Lumakras (sotorasib) – NDA 214665",
Dako EGFR pharmDx Kit,P030044/S002,"Dako North America, Inc.","Colorectal cancer

Erbitux (cetuximab) - BLA 125084
Vectibix (panitumumab) - BLA 12514",
FerriScan,DEN130012/K124065,Resonance Health Analysis Services Pty Ltd,"Non-transfusion-dependent thalassemia

Exjade (deferasirox) - NDA 021882",
Dako c-KIT pharmDx,P040011,"Dako North America, Inc.","Gastrointestinal stromal tumors

Gleevec (imatinib mesylate) - NDA 021335
Glivec (imatinib mesylate) - NDA 021588",
INFORM HER-2/neu,P940004,"Ventana Medical Systems, Inc.","Breast cancer

Herceptin (trastuzumab) - BLA 103792",
PathVysion HER-2 DNA Probe Kit,P980024,Abbott Molecular Inc.,"Breast cancer

Herceptin (trastuzumab) - BLA 103792",
PATHWAY anti-Her2/neu (4B5) Rabbit Monoclonal Primary Antibody,"P990081/S001-S028
P990081/S039","Ventana Medical Systems, Inc.","Breast cancer

Herceptin (trastuzumab) - BLA 103792
Kadcyla (ado-trastuzumab emtansine) - BLA 125427",
InSite Her-2/neu KIT,P040030,"Biogenex Laboratories, Inc.","Breast cancer

Herceptin (trastuzumab) - BLA 103792",
SPOT-LIGHT HER2 CISH Kit,P050040/S001-S003,Life Technologies Corporation,"Breast cancer

Herceptin (trastuzumab) - BLA 103792",
Bond Oracle HER2 IHC System,P090015,Leica Biosystems,"Breast cancer

Herceptin (trastuzumab) - BLA 103792",
HER2 CISH pharmDx Kit,P100024,Dako Denmark A/S,"Breast cancer

Herceptin (trastuzumab) - BLA 103792",
INFORM HER2 Dual ISH DNA Probe Cocktail,"P100027
P100027/S030","Ventana Medical Systems, Inc.","Breast cancer

Herceptin (trastuzumab) - BLA 103792
Kadcyla (ado-trastuzumab emtansine) - BLA 125427",
HercepTest,P980018/S018,Dako Denmark A/S,"Breast cancer

Herceptin (trastuzumab) - BLA 103792
Perjeta (pertuzumab) - BLA 125409
Kadcyla (ado-trastuzumab emtansine) - BLA 125427",
HER2 FISH pharmDx Kit,"P040005
P040005/S005
P040005/S006
P040005/S009",Dako Denmark A/S,"Breast cancer

Herceptin (trastuzumab) - BLA 103792
Perjeta (pertuzumab) - BLA 125409
Kadcyla (ado-trastuzumab emtansine) - BLA 125427

Gastric and gastroesophogeal cancer

Herceptin (trastuzumab) - BLA 103792",
THXID BRAF Kit,P120014,bioMérieux Inc.,"Melanoma

Braftovi (encorafenib) in combination with Mektovi (binimetinib) - NDA 210496 and NDA 210498
Mekinist (tramatenib) - NDA 204114
Tafinlar (dabrafenib) - NDA 202806",
Vysis ALK Break Apart FISH Probe Kit,"P110012
P110012/S020",Abbott Molecular Inc.,"Non-small cell lung cancer (NSCLC)

Xalkori (crizotinib) - NDA 202570
Alunbrig (brigatinib) - NDA 208772",
cobas 4800 BRAF V600 Mutation Test,P110020/S016,"Roche Molecular Systems, Inc.","Melanoma

Zelboraf (vemurafenib) - NDA 202429
Cotellic (cobimetinib) - NDA 206192 in combination with Zelboraf (vemurafenib) - NDA 202429",
VENTANA PD-L1(SP142) Assay,"P160002/S006
P160002/S009","Ventana Medical Systems, Inc.","Urothelial carcinoma and Non-small cell lung cancer (NSCLC)

TECENTRIQ (atezolizumab) - BLA 761034",
therascreen FGFR RGQ RT-PCR Kit,P180043,QIAGEN Manchester Ltd.,"urothelial cancer 
BALVERSA (erdafitinib) - NDA 212018",
therascreen PIK3CA RGQ PCR Kit,"P190001
P190004",QIAGEN GmbH,"Breast cancer (tissue and plasma)
PIQRAY (alpelisib) - NDA 212526",
Myriad myChoice® CDx,"P190014
P190014/S003","Myriad Genetic Laboratories, Inc.","Ovarian Cancer
Zejula® (niraparib) - NDA 208447
Lynparza (olaparib) - NDA 208558",
therascreen BRAF V600E RGQ PCR Kit,P190026,QIAGEN GmbH,"Colorectal Cancer
BRAFTOVI (encorafenib) – NDA 210496 in combination with Erbitux (cetuximab) – BLA 125084",
PD-L1 IHC 28-8 pharmDx,P150025/S013,"Dako North America, Inc.","Non-small cell lung cancer (NSCLC)

OPDIVO (nivolumab) (BLA 125554) in combination with YERVOY (ipilimumab) (BLA 125377)",
cobas EZH2 Mutation Test,P200014,"Roche Molecular Systems, Inc.","Follicular lymphoma tumor

Tazverik (tazemetostat) - NDA 213400",
VENTANA HER2 Dual ISH DNA Probe Cocktail,P190031,"Ventana Medical Systems, Inc.","Breast cancer

Herceptin (trastuzumab) - BLA 103792",
Guardant360® CDx,"P200010
P200010/S001
P200010/S002","Guardant Health, Inc.","Non-small cell lung cancer (plasma)

Tagrisso (osimertinib) - NDA 208065
Rybrevant (amivantamab-vmjw) - BLA 761210
Lumakras (sotorasib) – NDA 214665",
FoundationOne® Liquid CDx,"P190032
P200006
P200016
P190032/S001","Foundation Medicine, Inc.","Non-small cell lung cancer (plasma)

Iressa (gefitinib) - NDA 206995
Tagrisso (osimertinib) - NDA 208065
Tarceva (erlotinib) - NDA 021743
Alecensa (alectinib) - NDA 208434
Tabrecta (capmatinib) – NDA 213591

Metastatic castrate resistant prostate cancer (mCRPC) (plasma)

Rubraca (rucaparib) - NDA 209115
Lynparza (olaparib) - NDA 206162, 208558

Ovarian cancer (plasma)

Rubraca (rucaparib) - NDA 209115

Breast cancer (plasma)

Piqray (alpelisib) - NDA 212526",
VENTANA MMR RxDx Panel,"P200019
P210001","Ventana Medical Systems, Inc.","Endometrial Carcinoma (EC)aEndometrial Carcinoma (EC)

Jemperli (dostarlimab-gxly) - BLA 761174

Mismatch repair deficient (dMMR) Solid tumors

Jemperli (dostarlimab-gxly) - BLA 761223 ",
