Drug,Therapeuti_Area,Biomarker,Labeling_Sections
Abemaciclib (1),Oncology,ESR (Hormone Receptor),"Indications and Usage, Adverse Reactions, Clinical Studies"
Abemaciclib (2),Oncology,ERBB2 (HER2),"Indications and Usage, Adverse Reactions, Clinical Studies"
Ado-Trastuzumab Emtansine,Oncology,ERBB2 (HER2),"Indications and Usage, Dosage and Administration, Adverse Reactions, Clinical Pharmacology, Clinical Studies"
Afatinib,Oncology,EGFR,"Indications and Usage, Dosage and Administration, Adverse Reactions, Clinical Studies"
Alectinib,Oncology,ALK,"Indications and Usage, Dosage and Administration, Adverse Reactions, Clinical Pharmacology, Clinical Studies"
Allopurinol,Oncology,HLA-B,Warnings
Alpelisib (1) ,Oncology,ERBB2 (HER2),"Indication and Usage, Dosage and Administration, Adverse Reactions, Clinical Studies"
Alpelisib (2),Oncology,ESR (Hormone Receptor),"Indication and Usage, Dosage and Administration, Adverse Reactions, Clinical Studies"
Alpelisib (3),Oncology,PIK3CA,"Indication and Usage, Dosage and Administration, Adverse Reactions, Clinical Studies"
Amivantamab-vmjw,Oncology,EGFR,"Indications and Usage, Dosage and Administration, Adverse Reactions, Clinical Studies"
Anastrozole,Oncology,"ESR, PGR (Hormone Receptor)","Indications and Usage, Adverse Reactions, Drug Interactions, Clinical Studies"
Arsenic Trioxide,Oncology,PML-RARA,"Indications and Usage, Clinical Studies"
Atezolizumab (1),Oncology,CD274 (PD-L1),"Indications and Usage, Dosage and Administration, Warnings and Precautions, Adverse Reactions, Clinical Pharmacology, Clinical Studies"
Atezolizumab (2)  ,Oncology,Gene Signature (T-effector),Clinical Studies
Atezolizumab (3),Oncology,EGFR,"Indications and Usage, Adverse Reactions, Clinical Studies"
Atezolizumab (4),Oncology,ALK,"Indications and Usage, Adverse Reactions, Clinical Studies"
Atezolizumab (5),Oncology,BRAF,"Indications and Usage, Dosage and Administration, Adverse Reactions, Clinical Studies"
Avapritinib (1),Oncology,PDGFRA,"Indications and Usage, Dosage and Administration, Clinical Studies"
Avapritinib (2),Oncology,KIT,Clinical Studies
Avelumab,Oncology,CD274 (PD-L1),Clinical Studies
Belinostat,Oncology,UGT1A1,"Dosage and Administration, Clinical Pharmacology"
Binimetinib (1),Oncology,BRAF,"Indications and Usage, Dosage and Administration, Warnings and Precautions, Adverse Reactions, Use in Specific Populations, Clinical Studies  "
Binimetinib (2),Oncology,UGT1A1,Clinical Pharmacology
Blinatumomab (1),Oncology,BCR-ABL1 (Philadelphia chromosome),"Adverse Reactions, Clinical Studies"
Blinatumomab (2),Oncology,CD19,Indications and Usage
Bosutinib,Oncology,BCR-ABL1 (Philadelphia chromosome),"Indications and Usage, Dosage and Administration, Warnings and Precautions, Adverse Reactions, Use in Specific Populations, Clinical Studies"
Brentuximab Vedotin (1),Oncology,ALK,Clinical Studies
Brentuximab Vedotin (2),Oncology,TNFRSF8 (CD30),"Indications and Usage, Dosage and Administration, Adverse Reactions, Use in Specific Populations, Clinical Studies"
Brigatinib,Oncology,ALK,"Indications and Usage, Dosage and Administration, Adverse Reactions, Clinical Studies"
Busulfan,Oncology,BCR-ABL1 (Philadelphia chromosome),Clinical Studies
Cabozantinib,Oncology,RET,Clinical Studies
Capmatinib,Oncology,MET,"Indications and Usage, Dosage and Administration, Clinical Studies"
Capecitabine,Oncology,DPYD,"Warnings and Precautions, Patient Counseling Information"
Cemiplimab-rwlc (1),Oncology,ALK,"Indications and Usage, Clinical Studies"
Cemiplimab-rwlc (2),Oncology,CD274 (PD-L1),"Indications and Usage, Dosage and Administration, Clinical Studies"
Cemiplimab-rwlc (3),Oncology,EGFR,"Indications and Usage, Clinical Studies"
Cemiplimab-rwlc (4),Oncology,ROS1,"Indications and Usage, Clinical Studies"
Ceritinib,Oncology,ALK,"Indications and Usage, Dosage and Administration, Warning and Precautions, Adverse Reactions, Clinical Studies"
Cetuximab (1),Oncology,EGFR,"Indications and Usage, Dosage and Administration, Adverse Reactions, Clinical Studies"
Cetuximab (2),Oncology,RAS,"Indications and Usage, Dosage and Administration, Warnings and Precautions, Adverse Reactions, Clinical Studies"
Cisplatin,Oncology,TPMT,Adverse Reactions
Cobimetinib,Oncology,BRAF,"Indications and Usage, Dosage and Administration, Adverse Reactions, Clinical Studies"
Crizotinib (1),Oncology,ALK,"Indications and Usage, Dosage and Administration, Adverse Reactions, Use in Specific Populations, Clinical Pharmacology, Clinical Studies"
Crizotinib (2),Oncology,ROS1,"Indications and Usage, Dosage and Administration, Adverse Reactions, Use in Specific Populations, Clinical Studies"
Dabrafenib (1),Oncology,BRAF,"Indications and Usage, Dosage and Administration, Warnings and Precautions, Adverse Reactions, Clinical Pharmacology, Clinical Studies, Patient Counseling Information"
Dabrafenib (2),Oncology,G6PD,"Warnings and Precautions, Adverse Reactions, Patient Counseling Information"
Dabrafenib (3),Oncology,RAS,"Dosage and Administration, Warnings and Precautions"
Dacomitinib,Oncology,EGFR,"Indications and Usage, Dosage and Administration, Adverse Reactions, Use in Specific Populations, Clinical Studies"
Dasatinib,Oncology,BCR-ABL1 (Philadelphia chromosome),"Indications and Usage, Dosage and Administration, Warnings and Precautions, Adverse Reactions, Use in Specific Populations, Clinical Studies"
Denileukin Diftitox,Oncology,IL2RA (CD25 antigen),"Indications and Usage, Clinical Studies"
Dinutuximab,Oncology,MYCN,Clinical Studies
Docetaxel,Oncology,"ESR, PGR (Hormone Receptor)",Clinical Studies
Dostarlimab-gxly,Oncology,Mismatch Repair,"Indication and Usage, Dosage and Administration, Adverse Reactions, Clinical Studies"
Durvalumab,Oncology,CD274 (PD-L1),"Clinical Pharmacology, Clinical Studies"
Duvelisib,Oncology,Chromosome 17p,Clinical Studies
Enasidenib,Oncology,IDH2,"Indications and Usage, Dosage and Administration, Clinical Pharmacology, Clinical Studies"
Encorafenib (1),Oncology,BRAF,"Indications and Usage, Dosage and Administration, Warnings and Precautions, Adverse Reactions, Use in Specific Populations, Clinical Pharmacology, Clinical Studies"
Encorafenib (2),Oncology,RAS,"Dosage and Administration, Warnings and Precautions, Clinical Studies  "
Enfortumab Vedotin-ejfv,Oncology,NECTIN4,Clinical Studies
Entrectinib (1),Oncology,ROS1,"Indications and Usage, Dosage and Administration, Adverse Reactions, Use in Specific Populations, Clinical Pharmacology, Clinical Studies"
Entrectinib (2),Oncology,NTRK,"Indications and Usage, Dosage and Administration, Adverse Reactions, Use in Specific Populations, Clinical Pharmacology, Clinical Studies"
Erdafitinib (1),Oncology,FGFR,"Indications and Usage, Dosage and Administration, Adverse Reactions, Clinical Studies, Patient Counseling Information"
Erdafitinib (2) ,Oncology,CYP2C9,"Use in Specific Populations, Clinical Pharmacology"
Eribulin (1),Oncology,ERBB2 (HER2),Clinical Studies
Eribulin (2),Oncology,"ESR, PGR (Hormone Receptor)",Clinical Studies
Erlotinib,Oncology,EGFR,"Indications and Usage, Dosage and Administration, Adverse Reactions, Clinical Studies"
Everolimus (1),Oncology,ERBB2 (HER2),"Indications and Usage, Dosage and Administration, Warnings and Precautions, Adverse Reactions, Use in Specific Populations, Clinical Pharmacology, Clinical Studies"
Everolimus (2),Oncology,ESR (Hormone Receptor),"Indications and Usage, Dosage and Administration, Warnings and Precautions, Adverse Reactions, Use in Specific Populations, Clinical Pharmacology, Clinical Studies"
Exemestane,Oncology,"ESR, PGR (Hormone Receptor)","Indications and Usage, Dosage and Administration, Clinical Studies"
Fam-Trastuzumab Deruxtecan-nxki,Oncology,ERBB2 (HER2),"Indications and Usage, Warnings and Precautions, Adverse Reactions, Use in Specific Populations, Clinical Pharmacology, Clinical Studies"
Fluorouracil (2),Oncology,DPYD,"Warnings and Precautions, Patient Counseling Information"
Flutamide,Oncology,G6PD,Warnings
Fulvestrant (1),Oncology,ERBB2 (HER2),"Indications and Usage, Adverse Reactions, Clinical Studies"
Fulvestrant (2),Oncology,"ESR, PGR (Hormone Receptor)","Indications and Usage, Adverse Reactions, Clinical Pharmacology, Clinical Studies"
Gefitinib (1),Oncology,EGFR,"Indications and Usage, Dosage and Administration, Clinical Studies"
Gefitinib (2),Oncology,CYP2D6,Clinical Pharmacology
Gilteritinib,Oncology,FLT3,"Indications and Usage, Dosage and Administration, Clinical Studies"
Goserelin,Oncology,"ESR, PGR (Hormone Receptor)","Indications and Usage, Clinical Studies"
Ibrutinib (1),Oncology,Chromosome 17p,"Indications and Usage, Clinical Studies"
Ibrutinib (2),Oncology,Chromosome 11q,Clinical Studies
Ibrutinib (3),Oncology,MYD88,Clinical Studies
Imatinib (1),Oncology,KIT,"Indications and Usage, Dosage and Administration, Clinical Studies"
Imatinib (2),Oncology,BCR-ABL1 (Philadelphia chromosome),"Indications and Usage, Dosage and Administration, Warnings and Precautions, Adverse Reactions, Use in Specific Populations, Clinical Pharmacology, Clinical Studies"
Imatinib (3),Oncology,PDGFRB,"Indications and Usage, Dosage and Administration, Clinical Studies"
Imatinib (4),Oncology,FIP1L1-PDGFRA,"Indications and Usage, Dosage and Administration, Clinical Studies"
Infigratinib,Oncology,FGFR2,"Indications and Usage, Dosage and Administration, Clinical Studies"
Inotuzumab Ozogamicin,Oncology,BCR-ABL1 (Philadelphia chromosome),Clinical Studies
Ipilimumab (1),Oncology,HLA-A,Clinical Studies
Ipilimumab (2),Oncology,"Microsatellite Instability, Mismatch Repair","Indications and Usage, Dosage and Administration, Warnings and Precautions, Adverse Reactions, Use in Specific Populations, Clinical Studies"
Ipilimumab (3),Oncology,CD274 (PD-L1),"Indications and Usage, Dosage and Administration, Use in Specific Populations, Clinical Studies"
Ipilimumab (4),Oncology,ALK,"Indications and Usage, Adverse Reactions, Clinical Studies"
Ipilimumab (5),Oncology,EGFR,"Indications and Usage, Adverse Reactions, Clinical Studies"
Irinotecan,Oncology,UGT1A1,"Dosage and Administration, Warnings and Precautions, Clinical Pharmacology"
Isatuximab- irfc (1),Oncology,Chromosome 17p,Clinical Studies
Isatuximab- irfc (2),Oncology,Chromosome 4p;14q,Clinical Studies
Isatuximab- irfc (3),Oncology,Chromosome 14q;16q,Clinical Studies
Ivosidenib,Oncology,IDH1,"Indications and Usage, Dosage and Administration, Clinical Pharmacology, Clinical Studies"
Ixabepilone (1),Oncology,ERBB2 (HER2),Clinical Studies
Ixabepilone (2),Oncology,"ESR, PGR (Hormone Receptor)",Clinical Studies
Lapatinib (1),Oncology,ERBB2 (HER2),"Indications and Usage, Dosage and Administration, Adverse Reactions, Use in Specific Populations, Clinical Studies"
Lapatinib (2),Oncology,"ESR, PGR (Hormone Receptor)","Indications and Usage, Dosage and Administration, Adverse Reactions, Use in Specific Populations, Clinical Studies"
Lapatinib (3),Oncology,HLA-DQA1,Clinical Pharmacology
Lapatinib (4),Oncology,HLA-DRB1,Clinical Pharmacology
Larotrectinib,Oncology,NTRK,"Indications and Usage, Dosage and Administration, Adverse Reactions, Clinical Studies"
Lenvatinib,Oncology,"Microsatellite Instability, Mismatch Repair","Indications and Usage, Adverse Reactions, Clinical Studies"
Letrozole,Oncology,"ESR, PGR (Hormone Receptor)","Indications and Usage, Adverse Reactions, Clinical Studies"
Lorlatinib (1),Oncology,ALK,"Indications and Usage, Dosage and Administration, Adverse Reactions, Clinical Studies"
Lorlatinib (2),Oncology,ROS1,Adverse Reactions
Lutetium Dotatate Lu-177,Oncology,SSTR ,"Indications and Usage, Adverse Reactions, Clinical Pharmacology, Clinical Studies"
Margetuximab-cmkb (1),Oncology,ERBB2 (HER2),"Indications and Usage, Adverse Reactions, Clinical Pharmacology, Clinical Studies"
Margetuximab-cmkb (2),Oncology,FCGR2A (CD32A),Clinical Pharmacology
Margetuximab-cmkb (3),Oncology,FCGR2B (CD32B),Clinical Pharmacology
Margetuximab-cmkb (4),Oncology,FCGR3A (CD16A),Clinical Pharmacology
Mercaptopurine (1),Oncology,TPMT,"Dosage and Administration, Warnings and Precautions, Adverse Reactions, Clinical Pharmacology"
Mercaptopurine (2),Oncology,NUDT15,"Dosage and Administration, Warnings and Precautions, Clinical Pharmacology"
Midostaurin (1),Oncology,FLT3,"Indications and Usage, Dosage and Administration, Adverse Reactions, Clinical Studies"
Midostaurin (2),Oncology,NPM1,Clinical Studies
Midostaurin (3),Oncology,KIT,Clinical Studies
Neratinib (1),Oncology,ERBB2 (HER2),"Indications and Usage, Adverse Reactions, Clinical Studies"
Neratinib (2),Oncology,"ESR, PGR (Hormone Receptor)",Clinical Studies
Nilotinib (1),Oncology,BCR-ABL1 (Philadelphia chromosome),"Indications and Usage, Dosage and Administration, Warnings and Precautions, Adverse Reactions, Use in Specific Populations, Clinical Pharmacology, Clinical Studies"
Nilotinib (2),Oncology,UGT1A1,Clinical Pharmacology
Niraparib,Oncology,"BRCA, Genomic Instability (Homologous Recombination Deficiency)","Indication and Usage, Dosage and Administration, Clinical Studies"
Nivolumab (1),Oncology,BRAF,"Adverse Reactions, Clinical Studies"
Nivolumab (2),Oncology,CD274 (PD-L1),"Indications and Usage, Dosage and Administration, Use in Specific Populations, Clinical Pharmacology, Clinical Studies"
Nivolumab (3),Oncology,"Microsatellite Instability, Mismatch Repair","Indications and Usage, Clinical Studies"
Nivolumab (4),Oncology,EGFR,"Indications and Usage, Adverse Reactions, Clinical Studies"
Nivolumab (5),Oncology,ALK,"Indications and Usage, Adverse Reactions, Clinical Studies"
Nivolumab (5),Oncology,ERBB2 (HER2),"Adverse Reactions, Clinical Studies"
Obinutuzumab,Oncology,MS4A1 (CD20 antigen),Clinical Studies
Olaparib (1),Oncology,BRCA,"Indications and Usage, Dosage and Administration, Warnings and Precautions, Adverse Reactions, Clinical Studies"
Olaparib (2),Oncology,ERBB2 (HER2),"Indications and Usage, Dosage and Administration, Adverse Reactions, Clinical Studies"
Olaparib (3),Oncology,"ESR, PGR (Hormone Receptor)","Indications and Usage, Clinical Studies"
Olaparib (4),Oncology,"BRCA, Genomic Instability (Homologous Recombination Deficiency)","Indications and Usage, Dosage and Administration, Adverse Reactions, Clinical Studies"
Olaparib (5),Oncology,Homologous Recombination Repair,"Indications and Usage, Dosage and Administration, Adverse Reactions, Clinical Studies"
Olaparib (6),Oncology,PPP2R2A,Clinical Studies
Olaratumab,Oncology,PDGFRA,Clinical Studies
Omacetaxine,Oncology,BCR-ABL1 (Philadelphia chromosome),Clinical Studies
Osimertinib,Oncology,EGFR,"Indications and Usage, Dosage and Administration, Adverse Reactions, Clinical Studies"
Palbociclib (1),Oncology,ESR (Hormone Receptor),"Indications and Usage, Adverse Reactions, Clinical Studies"
Palbociclib (2),Oncology,ERBB2 (HER2),"Indications and Usage, Adverse Reactions, Clinical Studies"
Panitumumab (1),Oncology,EGFR,"Adverse Reactions, Clinical Pharmacology, Clinical Studies"
Panitumumab (2),Oncology,RAS,"Indications and Usage, Dosage and Administration, Warnings and Precautions, Adverse Reactions, Clinical Studies"
Pazopanib (1),Oncology,UGT1A1,Clinical Pharmacology
Pazopanib (2),Oncology,HLA-B,Clinical Pharmacology
Pembrolizumab (1),Oncology,BRAF,"Adverse Reactions, Clinical Studies"
Pembrolizumab (2),Oncology,CD274 (PD-L1),"Indications and Usage, Dosage and Administration, Adverse Reactions, Use in Specific Populations, Clinical Studies"
Pembrolizumab (3),Oncology,"Microsatellite Instability, Mismatch Repair","Indications and Usage, Dosage and Administration, Adverse Reactions, Use in Specific Populations, Clinical Studies  "
Pembrolizumab (4),Oncology,EGFR,"Indications and Usage, Adverse Reactions, Clinical Studies"
Pembrolizumab (5),Oncology,ALK,"Indications and Usage, Adverse Reactions, Clinical Studies"
Pembrolizumab (6),Oncology,Tumor Mutational Burden,"Indications and Usage, Dosage and Administration, Clinical Studies"
Pembrolizumab (7),Oncology,ERBB2 (HER2),"Indications and Usage, Adverse Reactions, Clinical Studies"
Pemigatinib,Oncology,FGFR2,"Indication and Usage, Dosage and Administration, Clinical Studies"
Pertuzumab (1),Oncology,ERBB2 (HER2),"Indications and Usage, Dosage and Administration, Warnings and Precautions, Adverse Reactions, Clinical Pharmacology, Clinical Studies"
Pertuzumab (2),Oncology,"ESR, PGR (Hormone Receptor)",Clinical Studies
Ponatinib,Oncology,BCR-ABL1 (Philadelphia chromosome),"Indications and Usage, Warnings and Precautions, Adverse Reactions, Use in Specific Populations, Clinical Studies"
Pralsetinib,Oncology,"CCDC6-RET, KIF5B-RET,  RET","Indications and Usage, Dosage and Administration, Adverse Reactions, Use in Specific Populations, Clinical Pharmacology, Clinical Studies"
Raloxifene,Oncology,ESR (Hormone Receptor),Clinical Studies
Ramucirumab (1),Oncology,EGFR,"Indications and Usage, Dosage and Administration, Adverse Reactions, Clinical Studies"
Ramucirumab (2),Oncology,RAS,Clinical Studies
Rasburicase (1),Oncology,G6PD,"Boxed Warning, Contraindications, Warnings and Precautions"
Rasburicase (2),Oncology,CYB5R,"Boxed Warning, Contraindications, Warnings and Precautions"
Regorafenib,Oncology,RAS,"Indications and Usage, Clinical Studies"
Ribociclib (1),Oncology,"ESR, PGR (Hormone Receptor)","Indications and Usage, Adverse Reactions, Clinical Studies"
Ribociclib (2),Oncology,ERBB2 (HER2),"Indications and Usage, Adverse Reactions, Clinical Studies"
Rituximab,Oncology,MS4A1 (CD20 antigen),"Indications and Usage, Dosage and Administration, Adverse Reactions, Use in Specific Populations, Clinical Studies"
Rucaparib (1),Oncology,BRCA,"Indications and Usage, Dosage and Administration, Adverse Reactions, Clinical Studies"
Rucaparib (2),Oncology,CYP2D6,Clinical Pharmacology
Rucaparib (3),Oncology,CYP1A2,Clinical Pharmacology
Rucaparib (4),Oncology,"BRCA, Loss of Heterozygosity (Homologous Recombination Deficiency)","Warnings and Precautions, Adverse Reactions, Clinical Studies"
Sacituzumab Govitecan-hziy,Oncology,UGT1A1,"Warnings and Precautions, Clinical Pharmacology"
Selpercatinib,Oncology,RET,"Indications and Usage, Dosage and Administration, Adverse Reactions, Use in Specific Populations, Clinical Studies"
Sotorasib,Oncology,KRAS,"Indication and Usage, Dosage and Administration, Adverse Reactions, Clinical Pharmacology, Clinical Studies"
Talazoparib (1),Oncology,BRCA,"Indications and Usage, Dosage and Administration, Adverse Reactions, Clinical Studies"
Talazoparib (2),Oncology,ERBB2 (HER2),"Indications and Usage, Adverse Reactions, Clinical Studies"
Tamoxifen (1),Oncology,"ESR, PGR (Hormone Receptor)","Indications and Usage, Adverse Reactions, Clinical Pharmacology, Clinical Studies"
Tamoxifen (2),Oncology,F5 (Factor V Leiden),Warnings and Precautions
Tamoxifen (3),Oncology,F2 (Prothrombin),Warnings and Precautions
Tamoxifen (4),Oncology,CYP2D6,Clinical Pharmacology
Tepotinib (1),Oncology,ALK,Clinical Studies
Tepotinib (2),Oncology,EGFR,Clinical Studies
Tepotinib (3),Oncology,MET,"Indications and Usage, Dosage and Administration, Adverse Reactions, Use in Specific Populations, Clinical Studies"
