mRNA_case_submitter_id,clinical_case_submitter_id
TCGA-3N-A9WB-06A-11R-A38C-07,TCGA-3N-A9WB
TCGA-3N-A9WC-06A-11R-A38C-07,TCGA-3N-A9WC
TCGA-3N-A9WD-06A-11R-A38C-07,TCGA-3N-A9WD
TCGA-BF-A1PU-01A-11R-A18S-07,TCGA-BF-A1PU
TCGA-BF-A1PV-01A-11R-A18U-07,TCGA-BF-A1PV
TCGA-BF-A1PX-01A-12R-A18T-07,TCGA-BF-A1PX
TCGA-BF-A1PZ-01A-11R-A18S-07,TCGA-BF-A1PZ
TCGA-BF-A1Q0-01A-21R-A18S-07,TCGA-BF-A1Q0
TCGA-BF-A3DJ-01A-11R-A20F-07,TCGA-BF-A3DJ
TCGA-BF-A3DL-01A-11R-A20F-07,TCGA-BF-A3DL
TCGA-BF-A3DM-01A-11R-A20F-07,TCGA-BF-A3DM
TCGA-BF-A3DN-01A-11R-A20F-07,TCGA-BF-A3DN
TCGA-BF-A5EO-01A-12R-A27Q-07,TCGA-BF-A5EO
TCGA-BF-A5EP-01A-12R-A27Q-07,TCGA-BF-A5EP
TCGA-BF-A5EQ-01A-21R-A27Q-07,TCGA-BF-A5EQ
TCGA-BF-A5ER-01A-12R-A27Q-07,TCGA-BF-A5ER
TCGA-BF-A5ES-01A-11R-A27Q-07,TCGA-BF-A5ES
TCGA-BF-A9VF-01A-11R-A37K-07,TCGA-BF-A9VF
TCGA-BF-AAOU-01A-12R-A39D-07,TCGA-BF-AAOU
TCGA-BF-AAOX-01A-11R-A39D-07,TCGA-BF-AAOX
TCGA-BF-AAP0-06A-11R-A39D-07,TCGA-BF-AAP0
TCGA-BF-AAP1-01A-11R-A39D-07,TCGA-BF-AAP1
TCGA-BF-AAP2-01A-11R-A40A-07,TCGA-BF-AAP2
TCGA-BF-AAP4-01A-11R-A40A-07,TCGA-BF-AAP4
TCGA-BF-AAP6-01A-11R-A40A-07,TCGA-BF-AAP6
TCGA-BF-AAP7-01A-11R-A40A-07,TCGA-BF-AAP7
TCGA-BF-AAP8-01A-11R-A40A-07,TCGA-BF-AAP8
TCGA-D3-A1Q1-06A-21R-A18T-07,TCGA-D3-A1Q1
TCGA-D3-A1Q3-06A-11R-A18T-07,TCGA-D3-A1Q3
TCGA-D3-A1Q4-06A-11R-A18T-07,TCGA-D3-A1Q4
TCGA-D3-A1Q5-06A-11R-A18T-07,TCGA-D3-A1Q5
TCGA-D3-A1Q6-06A-11R-A18T-07,TCGA-D3-A1Q6
TCGA-D3-A1Q7-06A-11R-A18T-07,TCGA-D3-A1Q7
TCGA-D3-A1Q8-06A-11R-A18T-07,TCGA-D3-A1Q8
TCGA-D3-A1Q9-06A-11R-A18T-07,TCGA-D3-A1Q9
TCGA-D3-A1QA-07A-11R-A37K-07,TCGA-D3-A1QA
TCGA-D3-A1QA-06A-11R-A18T-07,TCGA-D3-A1QB
TCGA-D3-A1QB-06A-11R-A18T-07,TCGA-D3-A2J6
