gene_symbol,uniprotkb_ac,test_disease_use,test_trade_name,test_manufacturer,test_submission,test_is_a_panel,biomarker_id,biomarker_origin,ncit_biomarker,do_name,doid,histological_type,approved_indication,actual_use,specimen_type,platform_method,test_number_genes,test_adoption_evidence,test_trial_id,test_approval_status,pmid,test_study_design,clinical_significance,biomarker_drug,biomarker_description
ACTR3B,Q9P1U1,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,ARP3 Actin Related Protein 3 Homolog B Gene_ ACTR3B Gene_ ACTR3B,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
ALDH4A1,P30038,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062738,Y,-,multigene prediction,Aldehyde Dehydrogenase 4 Family Member A1 Gene_ ALDH4A1_ ALDH4A1 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
ANLN,Q9NQW6,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,ANLN Gene_ ANLN_ Anillin Actin Binding Protein Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
AP2B1,P63010,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062764,Y,-,multigene prediction,Adaptor Related Protein Complex 2 Beta 1 Subunit Gene_ AP2B1_ AP2B1 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
BAG1,Q99933,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,BCL2 Associated Athanogene 1 Gene_ BAG1 Gene_ BAG1,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
BBC3,Q9BXHI,Breast Cancer,MammaPrint,Agendia BV,K101454_ K081092_ K080252_ K070675_ K062694,Y,-,multigene prediction,BBC3_ BBC3 Gene_ BCL2 Binding Component 3 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,D,70,clinical use,NCT00433589,Class II_ 510(k),27557300_ 23371464,Pro,70-gene-panel gene signature predicts likelihood of distant metastases and prognosis in profiles designated as high risk or low risk,,genes involved in the six hallmarks of cancer (i.e. evasion of apoptosis_ limitless replication_ dysregulation of growth signals_ etc.)_ https//www.ncbi.nlm.nih.gov/pmc/articles/PMC2999994/
BCL2,P10415,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,B-Cell CLL/Lymphoma 2 Gene_ BCL2_ BCL2 Gene_ BCL2_ Apoptosis Regulator Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
BIRC5,O15392,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,Baculoviral IAP Repeat-Containing 5 Gene_ BIRC5_ BIRC5 Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
BLVRA,P53004,Breast Cancer,Prosigna Breast Cancer Prognostic Gene Signature Assay,Nanostring Technologies,K130010,Y,-,multigene prediction,Biliverdin Reductase A Gene_ BLVRA_ BLVRA Gene,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),prognosis,prognostic,Paraffin block,R,58,clinical use,NCT01899079,Class II_ 510(k),24625003_ 26297356,RetObs,expression data to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease indicated in female breast cancer patients who have undergone surgery in conjunction with locoregional treatment consistent with standard of care,,The qualitative assay utilizes gene expression data_ weighted together with clinical variables to generate a risk category and numerical score_ to assess a patient’s risk of distant recurrence of disease
BRCA1,P38398,Breast Cancer,23andMe PGS Genetic Health Risk Report for BRCA1/BRCA2 (Selected Variants),23andMe,DEN170046,Y,899,somatic mutation,Breast Cancer 1_ Early Onset Gene_ BRCA1_ DNA Repair Associated Gene_ BRCA1 Gene_ BRCA1,breast cancer,1612,8500/2 (ductal carcinoma in situ) OR 8520/2 (lobular carcinoma in situ),early detection_ risk assesment,predisposition,Saliva,D,2,experimental,NCT01598597,class II,24520936_ 9145676,NA,185delAG and 5382insC variants in the BRCA1 gene and 6174delT variant in the BRCA2 gene are associated with increased risk of breast cancer_ clinical test use risk assesment/early detection for patients of Ashkenazi Jewish decent,Olaparib,From FDA The report describes if a woman is at increased risk of developing breast and ovarian cancer_ and if a man is at increased risk of developing breast cancer or may be at increased risk of developing prostate cancer. From EDRN BRCA1 is a nuclear phosphoprotein that functions as a tumor suppressor...[and] thus plays a role in transcription_ DNA repair of double-stranded breaks_ and recombination. Mutations in this gene are responsible for approximately 40% of inherited breast cancers and more than 80% of inherited breast and ovarian cancers.
