gene_symbol,uniprotkb_ac,test_disease_use,test_trade_name,test_manufacturer,test_submission,test_is_a_panel,biomarker_id,biomarker_origin,ncit_biomarker,do_name,doid,histological_type,approved_indication,actual_use,specimen_type,platform_method,test_number_genes,test_adoption_evidence,test_trial_id,test_approval_status,pmid,test_study_design,clinical_significance,biomarker_drug,biomarker_description
ALK,Q9UM73,Non-Small Cell Lung Cancer,VYSIS ALK Break Apart FISH Probe Kit,ABBOTT MOLECULAR INC,P110012,N,-,somatic mutation,ALK_ ALK Gene_ ALK Receptor Tyrosine Kinase Gene,lung non-small cell carcinoma,3908,8046 (Non-small cell carcinoma),prognosis  companion diagnosis,prognostic  predictive,Paraffin Block,F,1,clinical use,NCT00585195_ NCT00932451_ NCT00932893,PMA,28838404,ProObs,The Vysis Paraffin Pretreatment IV & Post Hybridization Wash Buffer Kit is used to prepare paraffin-embedded lung cancer tissue sections fixed on positively charged slides for use in fluorescence in situ hybridization (FISH) with Vysis DNA FISH probes,Xalkori (crizotinib),The Vysis ALK Break Apart FISH Probe Kit is a qualitative test to detect rearrangements involving the ALK gene via fluorescence in situ hybridization (FISH) in formalin-fixed_ paraffin-embedded (FFPE) non-small cell lung cancer (NSCLC) tissue specimens to aid in identifying patients eligible for treatment with Xalkorie (crizotinib).
EGFR,P00533,Non-Small Cell Lung Cancer,Cobas EGFR MUTATION TEST v2,Roche Molecular Systems_ Inc.,P120019,N,78,amplification,EGFR_ EGFR Gene_ Epidermal Growth Factor Receptor Gene,lung non-small cell carcinoma,3908,8046 (Non-small cell carcinoma),prognosis,prognostic,Paraffin Block,D,1,clinical use,-,PMA,28838392,RetObs,The cobas DNA Sample Preparation Kit provides reagents for manual specimen preparation to obtain genomic DNA from formalin-fixed_ paraffin-embedded tissue (FFPET). The cobas EGFR Mutation Test kit provides reagents for automated real-time PCR amplification and detection of the EGFR mutations.,Tarceva (erlotinib),The cobas EGFR Mutation Test is a real-time PCR test for the qualitative detection of exon 19 deletions and exon 21 (L858R) substitution mutations of the epidermal growth factor receptor (EGFR) gene in DNA derived from formalin-fixed paraffin-embedded (FFPET) human non-small cell lung cancer (NSCLC) tumor tissue
EGFR,P00533,Non-Small Cell Lung Cancer,QIAGEN MANCHESTER LTD,THERASCREEN EGFR RGQ PCR KIT,P120022,N,78,amplification,EGFR_ EGFR Gene_ Epidermal Growth Factor Receptor Gene,lung non-small cell carcinoma,3908,8046 (Non-small cell carcinoma),prognosis,prognostic,Paraffin Block,D or E,1,clinical use,NCT00949650,PMA,27737606 26891729,RetObs,The test is intended to be used to select patients with NSCLC for whom GILOTRIFTM (afatinib)_ an EGFR tyrosine kinase inhibitor (TKI)_ is indicated. Safety and efficacy of GILOTRIFTM (afatinib) have not been established in patients whose tumors have L861Q_ G719X_ S768I_ exon 20 insertions_ and T790M mutations_ which are also detected by the therascreen EGFR RGQ PCR Kit.Specimens are processed using the QIAamp DSP DNA FFPE Tissue Kit for manual sample preparation and the Rotor-Gene Q MDx instrument for automated amplification and detection,GILOTRIFTM (afatinib),The therascreen EGFR RGQ PCR Kit is a real-time PCR test for the qualitative detection of exon 19 deletions and exon 21 (L858R) substitution mutations of the epidermal growth factor receptor (EGFR) gene in DNA derived from formalin-fixed paraffin-embedded (FFPE) non-small cell lung cancer (NSCLC) tumor tissue.
EGFR,P00533,Non-Small Cell Lung Cancer,Cobas EGFR MUTATION TEST v2,Roche Molecular Systems_ Inc.,P150044,N,78,amplification,EGFR_ EGFR Gene_ Epidermal Growth Factor Receptor Gene,lung non-small cell carcinoma,3908,8046 (Non-small cell carcinoma),prognosis,prognostic,Paraffin Block,E,1,clinical use,-,PMA,28838392,RetObs,The indications for use of the device as previously approved were to aid in identifying patients with non-small cell lung cancer (NSCLC) whose tumors have defined EGFR mutations and for whom safety and efficacy of a drug have been established,TARCEVA (erlotinib),The cobas EGFR Mutation Test v2 was originally approved as a prior version for the qualitative detection of defined mutations in the epidermal growth factor receptor (EGFR) gene in DNA isolated from formalin-fixed paraffin-embedded tumor tissue (FFPET) or circulating-free tumor DNA (cfDNA) from plasma derived from EDTA anti- coagulated peripheral whole blood and associated therapeutic indications.
EGFR,P00533,Non-Small Cell Lung Cancer,Cobas EGFR MUTATION TEST v2,Roche Molecular Systems_ Inc.,P150047,N,78,amplification,EGFR_ EGFR Gene_ Epidermal Growth Factor Receptor Gene,lung non-small cell carcinoma,3908,8046 (Non-small cell carcinoma),prognosis  companion diagnosis,prognostic  predictive,Paraffin Block,D and E,1,clinical use,-,PMA,28838392,RetObs,The indications for use of the device as approved in P120019/S007 is to aid in identifying patients with NSCLC whose tumors have defined EGFR mutations and for whom safety and efficacy of a drug have been established,TARCEVA (erlotinib)_ TAGRISSOTM (osimertinib),The cobas EGFR Mutation Test v2 (P120019/S007) was approved on November 13_ 2015 for the qualitative detection of defined mutations in the epidermal growth factor receptor (EGFR) gene in DNA derived from formalin-fixed paraffin-embedded tumor tissue (FFPET) from non-small cell lung cancer (NSCLC) patients.
AKT1,P31749,Non-Small Cell Lung Cancer,Oncomine Dx Target Test,LIFE TECHNOLOGIES CORPORATION,P160045,Y,-,multigene prediction,AKT1_ AKT1 Gene_ v-akt Murine Thymoma Viral Oncogene Homolog 1 Gene,lung non-small cell carcinoma,3908,8046 (Non-small cell carcinoma),prognosis,prognostic,Paraffin Block,C and R,23,clinical use,-,PMA,30243889,RetObs,The test is indicated to aid in selecting NSCLC patients for treatment with the targeted therapies,-,The OncomineTM Dx Target Test is a qualitative in vitro diagnostic test that uses targeted high throughput_ parallel-sequencing technology to detect single nucleotide variants (SNVs) and deletions in 23 genes from DNA and fusions in ROS1 from RNA isolated from formalin-fixed_ paraffin-embedded (FFPE) tumor tissue samples from patients with non-small cell lung cancer (NSCLC) using the Ion PGMTM Dx System.
ALK,Q9UM73,Non-Small Cell Lung Cancer,Oncomine Dx Target Test,LIFE TECHNOLOGIES CORPORATION,P160045,Y,-,multigene prediction,ALK_ ALK Gene_ ALK Receptor Tyrosine Kinase Gene,lung non-small cell carcinoma,3908,8046 (Non-small cell carcinoma),prognosis,prognostic,Paraffin Block,C and R,23,clinical use,-,PMA,30243889,RetObs,The test is indicated to aid in selecting NSCLC patients for treatment with the targeted therapies,-,The OncomineTM Dx Target Test is a qualitative in vitro diagnostic test that uses targeted high throughput_ parallel-sequencing technology to detect single nucleotide variants (SNVs) and deletions in 23 genes from DNA and fusions in ROS1 from RNA isolated from formalin-fixed_ paraffin-embedded (FFPE) tumor tissue samples from patients with non-small cell lung cancer (NSCLC) using the Ion PGMTM Dx System.
BRAF,P15056,Non-Small Cell Lung Cancer,Oncomine Dx Target Test,LIFE TECHNOLOGIES CORPORATION,P160045,Y,-,multigene prediction,B-Raf Proto-Oncogene_ Serine/Threonine Kinase Gene_ BRAF_ BRAF Gene_ BRAF gene,lung non-small cell carcinoma,3908,8046 (Non-small cell carcinoma),prognosis,prognostic,Paraffin Block,C and R,23,clinical use,-,PMA,30243889,RetObs,The test is indicated to aid in selecting NSCLC patients for treatment with the targeted therapies,TAFINLAR(dabrafenib) in combination with MEKINIST (trametinib),The OncomineTM Dx Target Test is a qualitative in vitro diagnostic test that uses targeted high throughput_ parallel-sequencing technology to detect single nucleotide variants (SNVs) and deletions in 23 genes from DNA and fusions in ROS1 from RNA isolated from formalin-fixed_ paraffin-embedded (FFPE) tumor tissue samples from patients with non-small cell lung cancer (NSCLC) using the Ion PGMTM Dx System.
CDK4,P11802,Non-Small Cell Lung Cancer,Oncomine Dx Target Test,LIFE TECHNOLOGIES CORPORATION,P160045,Y,-,multigene prediction,CDK4_ CDK4 Gene_ Cyclin-Dependent Kinase 4 Gene,lung non-small cell carcinoma,3908,8046 (Non-small cell carcinoma),prognosis,prognostic,Paraffin Block,C and R,23,clinical use,-,PMA,30243889,RetObs,The test is indicated to aid in selecting NSCLC patients for treatment with the targeted therapies,-,The OncomineTM Dx Target Test is a qualitative in vitro diagnostic test that uses targeted high throughput_ parallel-sequencing technology to detect single nucleotide variants (SNVs) and deletions in 23 genes from DNA and fusions in ROS1 from RNA isolated from formalin-fixed_ paraffin-embedded (FFPE) tumor tissue samples from patients with non-small cell lung cancer (NSCLC) using the Ion PGMTM Dx System.
DDR2,Q16832,Non-Small Cell Lung Cancer,Oncomine Dx Target Test,LIFE TECHNOLOGIES CORPORATION,P160045,Y,-,multigene prediction,DDR2_ DDR2 Gene_ Discoidin Domain Receptor Family Member 2 Gene,lung non-small cell carcinoma,3908,8046 (Non-small cell carcinoma),prognosis,prognostic,Paraffin Block,C and R,23,clinical use,-,PMA,30243889,RetObs,The test is indicated to aid in selecting NSCLC patients for treatment with the targeted therapies,-,The OncomineTM Dx Target Test is a qualitative in vitro diagnostic test that uses targeted high throughput_ parallel-sequencing technology to detect single nucleotide variants (SNVs) and deletions in 23 genes from DNA and fusions in ROS1 from RNA isolated from formalin-fixed_ paraffin-embedded (FFPE) tumor tissue samples from patients with non-small cell lung cancer (NSCLC) using the Ion PGMTM Dx System.
